gene_id,S1.c2,S10.c2,S11.c2,S12.c2,S2.c2,S3.c2,S4.c2,S5.c2,S6.c2,S7.c2,S8.c2,S9.c2
Olfr1104,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1109,0,0,0,0,0,0,0,0,0,0,0,0
Tmco5b,0,0,0,0,0,0,0,0,0,0,0,0
1700007K13Rik,0,3,0,0,0,0,0,0,0,0,0,0
Fcnb,0,0,0,0,0,0,0,0,0,0,0,0
AI847159,0,0,0,0,0,0,0,0,0,0,0,0
Wt1os,0,0,0,0,0,0,0,0,0,0,0,0
Tubb1,7,3,2,7,6,3,5,5,11,3,9,12
Mybpc3,0,3,0,0,0,0,0,0,0,0,0,0
Eppin,0,0,0,0,0,0,0,0,0,0,0,0
Ext2,4684,5197,4417,3469,3997,1867,4084,4873,5584,3567,7579,5101
Olfr1037,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1036,9,3,7,3,5,2,4,4,4,2,4,2
Olfr1034,25,26,24,30,33,13,25,13,21,13,23,21
Olfr1033,379,464,347,372,452,196,402,282,293,309,606,389
Olfr1032,23,32,24,30,34,8,24,21,13,6,35,33
Olfr1031,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1030,0,0,0,0,0,0,0,0,0,0,0,0
Ryr3,81,176,138,178,54,19,47,41,60,33,109,196
Sdc4,8215,9838,7262,5601,7407,3336,7375,8380,8286,6819,17921,7347
Sdccag3,2057,2247,1785,1742,1749,810,1939,1567,1735,1141,2939,2146
Itgav,2615,3012,2601,1967,2365,1246,2639,2630,3286,2092,3895,3085
9230104L09Rik,0,0,0,0,0,0,0,0,0,0,0,0
Ctxn2,0,0,0,0,0,0,0,0,0,0,0,0
Camk1d,156,223,228,220,168,120,176,110,119,98,130,279
Tspyl3,306,455,398,267,310,136,309,271,295,211,380,431
Gata5os,37,24,26,17,18,3,17,12,6,4,16,22
Phf19,52,92,46,36,41,15,45,150,301,128,217,61
Gpd2,536,683,577,447,438,275,566,561,615,482,878,602
Gle1,1487,1789,1527,1165,1296,618,1289,1392,1640,1065,2139,1763
Itga8,44297,41146,37589,21284,24926,14773,29013,24758,21060,16709,32049,42104
Cep152,202,286,198,197,198,87,220,241,254,127,366,248
Ralgds,3213,3294,3092,2659,2639,1394,2298,2355,2453,1601,3658,3765
Tcfl5,0,0,0,0,0,0,0,0,4,0,0,0
Nop56,1362,1650,1302,1136,1318,535,1395,1629,1898,1271,3009,1348
Itga4,5,11,5,5,6,9,5,11,19,20,49,7
Itga6,78,63,59,28,48,39,23,93,80,39,202,122
Man1b1,2793,3052,2942,2181,2372,1131,2437,2982,3602,2039,4739,3100
Fkbp7,2107,2593,2278,1574,2048,906,2007,1824,2124,1481,2598,2436
Gm14005,203,250,218,139,183,69,212,265,273,192,546,182
Cdk9,1681,1957,1673,1470,1571,728,1483,1414,1672,1074,2508,1888
Kcnip3,97,202,149,172,110,60,118,148,187,116,260,192
Pdhx,373,473,384,281,357,160,348,465,506,349,760,462
Mir6973b,1,1,1,1,0,1,1,3,1,1,1,1
Olfr1077-ps1,0,0,0,0,0,0,0,0,0,0,0,0
Cst10,0,0,0,0,0,0,0,0,0,0,0,0
Cst11,0,0,0,0,0,0,0,0,0,0,0,0
Pde1a,481,813,699,592,624,361,589,690,726,646,946,802
Cst13,0,0,0,0,0,0,0,0,0,0,0,0
D330050G23Rik,7,3,5,0,0,0,0,5,10,0,6,5
Aif1l,85,171,148,206,164,89,123,102,158,81,126,236
Fahd2a,167,184,136,119,138,36,152,144,115,103,207,167
Snrpb2,660,795,645,554,720,287,636,772,911,630,1133,748
Svs6,0,0,0,0,0,0,0,0,0,0,0,0
Svs4,0,0,0,0,0,0,0,0,0,0,0,0
Svs5,0,0,0,0,0,0,0,0,0,0,0,0
Svs2,0,0,0,0,0,0,0,0,0,0,0,0
Tomm34,1187,1380,1151,979,1002,479,932,882,995,627,1484,1302
Sppl2a,2343,2888,2402,1691,2435,1213,2286,2720,3022,2265,4166,2823
Hao1,0,0,0,0,0,0,0,0,0,0,0,0
Ppp1r14d,0,0,0,0,0,0,0,0,0,0,0,0
Edf1,2059,2356,2056,1583,1882,781,1718,2437,3302,1856,3802,2106
Rbpjl,0,0,0,0,2,0,4,0,0,0,0,0
Sulf2,3137,3701,4135,4796,3896,2304,4613,2885,3020,2467,4188,5041
Itpa,591,804,594,497,588,254,563,850,1063,594,1317,724
Ebf4,353,359,248,253,245,108,229,166,172,136,349,260
Bbox1,3,2,0,0,6,0,5,0,0,3,0,4
5430417L22Rik,462,439,368,362,413,176,395,438,528,319,721,478
Arl5a,2442,2937,2687,1866,2516,1308,2282,2385,2898,1764,3184,2934
Arl5b,1115,1818,1217,947,981,657,1419,1464,1329,1330,2168,1243
Olfr1313,0,0,0,0,0,0,0,0,0,0,0,0
Ctdspl2,922,1119,966,673,944,462,594,946,1060,778,966,884
Cacna1b,0,0,0,0,0,0,0,0,0,0,0,0
4932416H05Rik,187,221,213,151,155,102,176,172,201,118,235,224
Pltp,5263,6958,6529,4564,5129,2394,4745,4478,4628,3570,6608,6211
Cdca7,35,46,41,18,45,27,43,202,429,155,274,32
Usp20,523,594,526,450,450,206,415,419,528,355,802,557
Olfr1276,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1271,0,0,0,0,0,0,0,0,0,0,0,0
Psmf1,872,1167,945,651,754,383,820,863,951,697,1391,1038
Dstn,6818,8599,7107,5217,7108,3197,6652,5895,6301,4534,7965,7656
Xrn2,1555,1917,1528,1120,1219,686,1405,1718,2144,1516,2946,1699
Pde11a,0,0,0,0,0,0,0,2,0,0,0,0
Dusp2,6,11,8,2,5,4,7,3,8,7,11,2
Arhgap1,4176,4471,3871,2991,3421,1512,3674,4992,5507,3928,8154,4314
Garnl3,652,602,489,449,622,242,594,430,370,386,801,538
Olfr1311,0,0,0,0,0,0,0,0,0,0,0,0
Med22,1495,1515,1209,968,1274,541,1193,1396,1658,900,2099,1460
Pmepa1,11646,10783,10280,8001,10822,5064,11608,11318,11203,9997,21179,10479
Hoxd13,0,0,0,0,0,0,0,0,0,0,0,0
Dnm1,5030,5609,4735,4878,4687,2077,4908,2944,2939,2667,5663,5227
Dynlrb1,1686,2421,1903,1490,1750,678,1820,1754,2209,1428,2826,2121
Fastkd5,272,374,314,193,292,125,274,267,296,194,442,298
Zfp64,562,615,546,414,466,195,435,462,501,333,721,598
Mir7222,0,0,0,0,0,0,0,0,0,0,0,0
Mir7221,0,0,0,0,0,0,0,0,0,0,0,0
Mir7224,0,0,0,0,0,0,0,0,0,0,1,0
Bfsp1,98,137,103,106,104,37,103,62,54,71,99,111
Syt13,2,22,32,16,5,0,0,172,519,117,119,14
Adamts13,0,0,0,0,0,0,0,0,0,0,0,0
Mir296,0,0,0,0,0,0,0,0,0,0,1,0
Bdnf,5,9,4,4,2,3,2,34,32,37,67,9
Mir298,0,0,0,0,0,0,0,0,0,0,0,0
Wfdc11,0,0,0,0,0,0,0,0,0,0,0,0
Wfdc10,4,0,0,0,2,4,0,0,2,0,4,0
Wfdc13,0,0,0,0,2,0,0,3,0,3,0,0
Wfdc12,0,9,16,3,0,0,0,14,12,12,32,8
Mtch2,2229,2730,2204,1632,2075,1044,2146,2542,2731,2172,4183,2511
Fam171b,124,184,194,219,165,114,200,163,195,101,117,233
Wfdc16,53,24,18,24,19,13,19,8,10,9,10,35
Ctcflos,0,0,0,0,0,0,0,0,0,0,0,0
Gm10804,0,0,0,0,0,0,0,0,0,0,0,0
Oprl1,0,0,2,0,0,0,0,4,0,0,2,0
Lgr4,328,381,368,365,396,191,378,319,370,272,486,462
Ehd4,641,739,560,446,462,291,426,593,638,420,961,811
2010009K17Rik,0,0,0,0,0,0,0,0,0,0,0,0
Fam166a,0,0,0,0,0,0,0,0,0,0,3,0
Ttf1,641,838,661,512,508,257,510,614,713,439,988,735
Scand1,755,659,614,704,540,308,682,703,733,447,1051,884
Abl1,5235,5712,5069,4442,4689,2289,4619,4815,5367,3899,8041,5811
A630075F10Rik,0,0,0,0,0,0,0,0,0,0,0,0
Cdh4,197,269,257,180,249,141,201,132,130,124,257,263
Mir7002,0,0,1,1,0,0,1,0,0,0,1,1
Mir7003,0,0,0,0,0,0,0,0,0,0,0,0
Mir7000,0,0,0,0,1,0,0,0,0,0,2,0
Mir7001,4,1,1,1,1,1,1,0,2,0,3,4
Mir7006,0,2,2,1,2,0,0,1,1,0,1,1
Defb19,0,0,0,0,0,0,0,0,0,0,0,0
Mir7004,0,0,1,1,1,1,1,1,1,1,1,1
Mir7005,8,4,4,5,1,2,4,10,7,6,14,1
Gjd2,0,0,0,0,0,0,0,0,0,0,0,0
Atp5e,1376,1963,1541,1241,1311,609,1542,1723,2240,1403,2673,1580
0610010B08Rik,0,1,0,181,0,0,0,0,198,0,2,21
Rem1,1667,1410,1351,1098,1150,513,1167,1020,1061,627,1534,1462
Nup160,977,1188,977,621,835,435,949,1001,1228,861,1587,1070
Pkig,1539,1566,1513,1029,895,615,1076,1743,1461,1591,2595,1718
Olfr1136,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1137,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1134,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1135,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1132,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1133,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1130,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1131,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1138,0,0,0,0,0,0,0,0,0,0,0,0
Ttpal,1012,1070,949,788,993,402,873,1141,1199,911,1733,1025
Adra1d,49,67,45,41,38,17,32,39,34,14,39,63
Cubn,0,13,5,4,3,3,8,20,47,6,43,12
Pet117,1,6,2,6,1,2,2,1,13,2,2,1
Hc,14,122,7,26,68,38,201,20,115,0,14,40
Proser2,51,39,27,17,31,12,40,20,19,4,26,30
Gss,300,425,322,238,312,130,264,425,537,293,727,329
Emilin3,5,8,9,0,7,3,0,16,30,4,12,4
Banf2,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1009,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1002,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1000,0,0,0,0,0,0,0,0,0,0,0,0
Patl2,0,0,0,0,0,0,0,0,0,0,0,0
Gsn,1096434,1196021,1210465,995566,1064300,591411,1042143,487443,378391,370027,728628,1321088
5031425F14Rik,0,0,0,0,0,0,0,2,0,0,6,0
Spag4,27,21,13,19,24,7,18,8,14,12,37,22
Spint5,0,0,0,0,0,0,0,0,0,0,0,0
Wdsub1,1322,1463,1313,946,1174,545,1221,1043,1016,754,1555,1431
Ncaph,14,20,30,18,21,0,27,237,515,226,324,26
Rtn4rl2,264,369,330,267,214,110,185,671,696,652,1621,333
Scp2d1,0,0,0,0,0,0,0,0,0,0,0,0
Lime1,1012,1003,840,922,876,341,724,636,622,442,1155,882
Fbxw2,1894,2204,1988,1403,1645,751,1095,1689,1804,1259,1941,1523
Mir103-2,1,3,2,0,1,0,1,0,0,0,1,0
Fbxw5,1622,1870,1358,1384,1384,576,1243,1322,1584,1037,2427,1611
Mir6997,0,0,0,1,1,1,2,1,0,2,0,1
Mir6996,0,1,1,0,0,0,0,0,0,0,1,0
Olfr1318,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1316,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1317,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1314,0,0,0,0,0,0,0,0,0,0,0,0
Dhrs9,58,54,37,41,44,24,37,39,38,18,34,47
Olfr1312,0,0,0,0,0,0,0,0,0,0,0,0
Pard6b,223,273,240,173,183,101,185,209,231,114,279,256
Olfr1310,0,0,0,0,0,0,0,0,0,0,0,0
Mir6998,1,4,2,3,3,1,2,1,1,1,3,2
1700019L03Rik,0,0,0,2,0,0,6,0,6,0,2,0
4631405J19Rik,0,0,0,0,0,0,0,0,0,0,0,0
Svs3a,0,0,0,0,0,0,0,0,0,0,0,0
Procr,85,148,170,282,178,97,181,206,173,214,396,238
BC029722,993,1168,1011,841,875,426,867,874,948,690,1366,1198
Bcl2l11,1129,1202,1079,726,902,407,819,719,803,630,1208,1150
Znfx1,2913,3026,2666,2297,2334,1096,2359,3100,3135,2894,6846,3019
Acbd7,0,0,0,0,0,0,0,0,0,0,0,0
Acbd5,765,859,930,596,901,492,984,900,819,718,948,986
Ahcy,1434,1685,1455,1071,1085,508,1156,1824,2517,1462,2603,1611
Fam209,9,5,10,11,8,7,13,0,5,9,18,13
Tprn,193,188,174,156,129,67,152,149,166,96,256,219
Tubb4b,6685,7629,6271,4893,6174,2923,6416,6418,7086,5052,10087,7279
Bcas1os2,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1300-ps1,0,0,0,0,0,0,0,0,0,0,0,0
Top1,1913,1988,1761,1289,1680,760,1692,2174,2429,1469,3196,1831
Gm13807,0,0,0,0,0,0,0,0,0,0,0,0
Ccdc141,1118,1595,996,782,731,421,771,1001,964,751,1274,1322
Dpm2,910,1113,949,794,851,403,788,894,976,604,1325,1057
Dpm1,863,1146,898,658,874,420,761,831,868,644,1317,991
Prrg4,5,19,7,5,4,4,4,9,6,2,13,17
Rpl12,8148,12324,10472,8439,8625,4148,9156,13269,16971,10315,20664,11048
Gm13752,0,0,0,0,0,0,0,0,0,0,0,0
Trp53bp1,1496,1715,1478,1095,1329,619,1311,1309,1665,949,2505,1546
Polr3f,567,778,561,423,513,259,464,542,607,423,798,619
Cir1,944,1001,923,695,739,378,668,707,775,574,1191,1052
Ell3,0,0,0,0,0,0,0,0,2,0,0,0
Polr3k,416,576,431,301,455,182,426,541,625,337,753,443
Galnt3,0,0,0,0,0,0,0,0,0,0,0,0
Mir5622,0,0,0,0,0,0,0,0,0,0,0,0
Olfr988,0,0,0,0,0,0,0,0,0,0,0,0
Lcn2,48,277,177,122,38,25,54,3939,2371,4943,16064,223
Cacnb4,91,124,95,61,119,49,85,111,92,99,214,94
Wdr34,376,411,364,305,291,148,314,358,396,233,487,418
Mir466d,0,0,0,0,0,0,0,0,0,0,0,0
4933409G03Rik,0,0,0,0,0,0,0,0,0,0,0,0
Kif3b,1084,1352,1107,882,1003,493,1088,1169,1310,954,1982,1243
Wdr38,0,7,0,0,0,0,0,2,0,0,0,0
4930500J02Rik,7,6,4,0,8,2,0,5,0,2,0,0
Casc5,4,0,0,3,4,0,7,126,286,120,169,4
Trub2,464,487,444,416,361,166,344,477,410,367,873,479
Mir129-2,0,0,0,0,0,0,0,0,0,0,0,0
Xkr7,0,0,0,0,0,0,2,0,2,0,4,0
Olfr74,0,0,0,0,0,0,0,0,0,0,0,0
Olfr73,0,0,0,0,0,0,0,0,0,0,0,0
A530013C23Rik,40,60,38,43,67,24,41,18,26,24,36,32
Ehf,4,11,9,7,3,5,6,8,7,5,6,4
Yme1l1,2532,2982,2518,1641,2396,1199,2339,2875,3230,2166,4127,2583
Arhgap21,7573,7921,6894,6028,5984,3365,7249,5734,5744,5025,10261,8599
Fam69b,168,299,262,223,215,88,210,132,183,84,168,285
2810002D19Rik,183,227,199,149,191,87,150,189,261,124,239,207
Hrh3,0,0,0,0,0,0,0,0,0,0,0,0
Gm13375,601,505,409,376,411,184,338,328,206,225,411,564
Harbi1,169,194,166,127,135,73,144,161,196,109,271,193
Kcnh7,0,0,0,0,0,0,0,0,0,0,0,0
Prdm12,0,0,0,0,0,0,0,0,0,0,0,0
Prdm11,58,83,49,48,39,21,47,58,64,41,87,45
Cpne1,3371,3674,3093,2344,2995,1394,2985,3888,4529,1754,3479,2166
Scn3a,6786,5748,5444,3838,4560,2400,5180,3330,2492,2439,5016,6540
Aqr,2032,2195,1850,1437,1606,793,1696,2036,2319,1615,3509,2088
Cntrl,996,1244,940,1014,903,412,901,911,1063,797,1789,1089
Rbm39,5382,6677,5180,4653,5495,2360,5094,4936,5508,4135,8726,5631
Rbm38,57,48,56,45,47,18,47,96,101,36,102,46
Lrrn4,2,43,9,0,5,2,0,19,109,12,60,20
Fgf7,3941,5258,4032,2830,3252,1699,3346,2625,2671,2149,3880,4526
Olfr338,0,0,0,0,0,0,0,0,0,0,0,0
Ptprt,117,112,91,55,73,36,38,61,87,42,142,74
Mir3110,0,0,0,0,0,0,0,0,0,0,0,0
Ptpra,4603,5311,4671,3311,3860,1918,4194,3980,4427,3202,6400,5157
Ptprj,310,350,345,346,261,167,348,501,670,425,1047,423
Pck1,0,0,0,0,0,0,0,0,0,0,0,0
Arl6ip6,327,385,245,235,256,160,255,360,424,259,529,351
Dab2ip,4306,4157,3051,2432,2620,1872,2950,3005,3034,2966,5103,3860
Pter,349,410,370,266,322,167,302,266,314,236,379,359
1700061F12Rik,0,0,0,0,0,0,0,0,0,0,0,0
Tbc1d20,1478,1417,1386,1041,1213,609,1388,1444,1783,1083,2259,1521
Immp1l,317,454,358,240,361,201,359,386,441,304,517,389
3110099E03Rik,0,0,0,0,0,0,0,0,0,0,0,0
Anapc2,3750,3982,3667,3023,3364,1476,3449,3448,3813,2424,5402,3933
Ctcfl,0,0,0,0,0,0,0,0,0,0,0,0
Ier5l,799,746,793,658,674,361,710,690,771,383,1027,793
Nphp1,547,656,518,425,471,250,488,553,663,421,782,618
Fpgs,867,813,646,680,768,308,756,712,765,577,1415,704
Mir669g,0,0,0,0,0,0,0,0,0,0,0,0
Mir669i,0,0,0,0,0,0,0,0,0,0,0,0
Mir669j,0,0,0,0,0,0,0,0,0,0,0,0
Mir669k,0,0,0,0,0,0,0,0,0,0,0,0
1110008P14Rik,249,349,327,226,258,129,214,383,433,267,716,302
Olfr1129,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1128,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1121,0,0,0,0,0,0,0,0,0,0,0,0
Mir219b,0,0,0,1,0,0,0,0,0,0,0,0
Scg5,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1122,0,0,0,0,0,0,0,0,0,0,0,0
Chp1,3938,4757,4104,3028,3535,1869,3797,3741,3825,2984,6261,4571
Olfr1124,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1126,0,0,0,0,0,0,0,0,0,0,0,0
Gm6710,134,0,0,0,232,0,131,0,168,0,0,675
Ltk,0,0,0,0,0,0,0,0,0,0,0,0
Tubgcp4,1091,1216,1083,695,962,249,1080,1170,1501,851,1185,1153
Prdx6b,556,649,488,344,466,203,402,554,525,528,1100,581
Zbtb6,310,359,278,192,274,103,222,286,352,236,452,320
Myef2,684,920,638,567,597,262,736,741,901,519,1090,704
Qsox2,815,888,758,618,647,353,676,727,733,556,1121,862
Olfr1008,0,0,0,0,0,0,0,0,0,0,0,0
Mapk8ip1,1253,1279,1208,898,1056,554,960,1005,1158,772,1237,1297
5031426D15Rik,11,8,8,36,40,5,35,1,17,15,43,9
Slx4ip,25,65,60,47,42,18,37,69,79,40,97,82
Mir6364,0,0,0,0,0,0,0,0,0,0,0,0
Frmd5,32,91,71,45,22,7,42,70,138,81,120,58
Pak6,0,0,0,0,0,0,0,0,0,0,0,0
Pak7,0,0,0,0,0,0,0,0,0,0,0,0
Dgkz,1114,1141,1017,933,1074,451,979,1124,1343,819,1977,1066
Ift52,753,892,757,538,612,303,606,726,867,569,1156,870
6430503K07Rik,0,0,0,0,0,0,0,0,0,0,0,0
Fam83d,3,4,0,0,7,0,4,57,185,72,81,6
Prr5l,856,1135,975,714,486,312,472,1048,860,632,1865,1216
Olfr1019,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1018,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1015,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1014,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1016,0,0,0,0,0,0,0,0,0,0,0,0
C330006A16Rik,1760,1696,553,1151,1412,634,1352,1386,1650,993,1988,1712
Olfr1010,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1013,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1012,0,0,0,0,0,0,0,0,0,0,0,0
Tti1,709,745,578,476,575,272,527,677,802,433,1040,716
Pla2r1,5839,6415,5176,3796,4733,2021,4770,3764,3601,3094,6281,5615
Olfr1006,0,0,0,0,0,0,0,0,0,0,0,0
Erv3,0,0,0,0,0,0,0,0,0,0,0,0
Ak1,1704,2148,1780,1291,1627,685,1615,2308,2879,1785,3294,1973
Dnttip1,679,751,635,550,581,262,524,634,795,512,1092,706
D2Wsu81e,580,758,555,498,525,233,527,651,804,425,973,689
E2f1,229,279,242,207,228,133,263,396,643,298,325,323
Prg3,0,0,0,0,0,0,0,0,0,0,0,0
Mir133c,0,0,0,0,0,0,0,0,0,0,0,0
Col20a1,372,468,360,434,330,166,307,176,147,188,382,457
Olfr1301,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1303,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1302,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1305,0,0,0,0,0,0,0,0,0,0,0,0
LOC102634401,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1307,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1306,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1309,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1308,0,0,0,0,0,0,0,0,0,0,0,0
Adra2b,1,2,3,3,4,6,4,2,4,3,4,2
Gmeb2,687,902,701,626,568,311,702,658,686,525,1133,776
Eif2s2,1797,2278,1737,1303,1771,895,1837,2531,2980,2067,4234,1924
B4galt5,1652,2414,2119,1676,1559,793,1669,3497,5139,2370,6198,2210
Ehmt1,1500,1627,1426,1179,1255,640,1291,1341,1627,1000,2258,1506
Tmc2,0,0,0,0,0,0,0,0,0,0,0,0
Jph2,2052,2089,1597,1395,1511,980,1677,2231,2360,1433,3168,1870
Gm14085,0,0,0,0,0,0,0,0,0,0,0,0
Mmp9,4,22,20,17,4,3,4,263,589,114,134,4
Ubox5,165,263,197,198,208,80,187,209,217,179,406,266
Zfp663,0,0,0,0,0,0,0,0,0,0,0,0
Zfp661,90,142,93,127,85,49,74,111,73,80,171,111
Tank,504,682,532,409,496,218,486,592,728,497,1142,593
Jmjd7,138,169,114,105,101,6,41,120,184,109,236,151
Olfr1274-ps,0,0,0,0,0,0,0,0,0,0,0,0
Dsn1,45,56,31,25,56,13,51,168,280,136,212,46
Aar2,660,823,668,512,594,274,518,676,790,492,1109,767
Secisbp2l,2697,3039,2523,1910,2074,1235,2478,2184,2285,1777,3788,2955
Mir3474,1,1,1,1,1,1,1,1,1,1,3,1
Nckap1,4689,5269,4458,3422,4197,2152,4851,5132,5964,4130,8151,5310
Agps,1272,1327,1212,771,995,579,1147,1296,1650,1064,2000,1207
Olfr998,0,0,0,0,0,0,0,0,0,0,0,0
Olfr996,0,0,0,0,0,0,0,0,0,0,0,0
Serinc4,5,4,5,3,7,2,0,2,10,5,11,5
Olfr994,0,0,0,0,0,0,0,0,0,0,0,0
Olfr995,0,0,0,0,0,0,0,0,0,0,0,0
Olfr992,0,0,0,0,0,0,0,0,0,0,0,0
Rab22a,1227,1280,1188,829,869,510,1113,1075,1179,846,1699,1324
Serinc3,21347,24147,20916,13994,17705,9200,17349,20158,17482,15538,30944,22865
Dok5,14,38,29,28,20,8,12,96,153,77,141,22
Dnmt3b,169,151,151,158,187,72,157,131,140,106,209,129
4930441J16Rik,0,0,0,0,0,0,0,0,0,0,0,0
Mir670,0,0,0,0,0,0,0,0,0,0,0,0
Mir674,1,1,0,0,0,1,0,0,0,0,1,0
Rims4,0,0,4,0,0,0,0,0,0,0,0,0
1700020I14Rik,647,676,634,464,483,275,540,615,795,495,994,724
Mga,2781,3361,2847,2495,2414,1355,2907,2376,2519,2134,4407,3456
6820408C15Rik,0,0,0,0,0,0,0,0,3,0,3,0
Agbl2,80,111,97,95,72,34,104,109,108,76,165,88
Kcng1,116,83,84,67,49,34,79,73,45,91,116,62
Snap23,1230,1549,1253,849,1181,611,1246,1600,1697,1179,2548,1363
Mir1a-1,0,0,0,0,0,0,0,0,0,0,0,0
Srp14,1665,2115,1586,1271,1553,697,1441,1708,1740,1177,2427,1781
Gm13582,0,0,0,0,0,0,0,0,0,0,0,0
Gm13580,0,0,0,0,0,0,0,0,0,0,0,0
Stard7,1720,1922,1643,1404,1544,784,1660,1426,1661,1164,2299,1972
Mir3473g,0,2,0,1,0,0,0,0,1,0,2,0
Upp2,12,4,0,0,2,4,0,0,0,5,3,0
Arl14ep,699,744,647,484,668,282,590,609,732,528,850,697
Mrgbp,272,237,233,207,229,95,196,255,274,189,475,254
Pax6os1,0,0,0,0,0,0,0,0,0,0,0,0
Shf,175,181,186,140,148,63,150,165,222,110,265,194
Cdk5rap1,212,305,285,204,216,88,206,216,224,158,351,274
Pbx3,230,260,249,209,215,97,206,390,633,301,636,298
Ptgs1,1308,2102,1405,1152,1195,493,1050,1707,2155,1169,2249,1615
Adnp,2624,3008,2548,2069,2580,1028,2629,2731,3019,2329,4581,2737
1700003F12Rik,0,0,0,0,0,0,0,0,0,0,0,3
Mir467d,0,0,0,0,0,0,0,0,0,0,0,0
Lpcat4,81,94,114,82,89,23,65,173,246,147,229,85
Lkaaear1,0,0,0,0,0,0,0,0,0,0,0,0
Actl10,0,0,2,2,0,0,0,2,0,0,2,1
4930573O16Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gca,14,5,9,5,14,8,14,14,10,8,30,19
Gabpb1,405,523,454,345,419,148,395,506,581,410,837,425
Gcg,0,0,0,0,0,0,0,0,0,0,0,0
Wisp2,6408,7421,6671,4919,4683,2612,5190,9771,5986,8918,20244,7052
Crb2,0,14,5,4,2,0,0,5,27,2,9,6
Rnf24,894,971,847,635,902,381,913,763,903,638,1178,937
Hsd17b12,1478,1889,1420,891,1267,579,1273,1819,1954,1461,2750,1614
Olfr3,0,0,0,0,0,0,0,0,0,0,0,0
Stmn3,2,5,2,7,7,0,8,0,0,0,7,9
Ssfa2,1771,2065,1860,1404,1586,871,1753,1642,1805,1222,2529,2036
Eif2ak4,742,917,670,629,627,305,658,654,813,568,1373,780
Fkbp1a,5376,6182,5117,3766,4966,2180,5082,5797,6923,4349,8663,5745
Erich2,0,0,3,2,8,0,0,19,14,5,17,0
Il2ra,0,6,3,5,4,0,3,3,2,0,7,7
Gapvd1,1960,2145,1971,1606,1686,902,1839,1972,2088,1315,3292,2178
Olfr1168,0,0,0,0,0,0,0,0,0,0,0,0
Cnbd2,54,102,83,70,47,18,56,51,40,34,108,93
Ptges,4196,5500,4132,3116,3465,1553,2919,5791,6619,4329,9948,4567
Slc35c2,923,1047,880,774,808,361,771,907,1031,653,1352,936
Mafb,1807,1544,1503,1017,1116,637,1236,792,706,363,971,1589
Slc35c1,492,529,512,386,427,204,406,545,676,417,873,532
Dbh,6,0,5,0,0,0,0,3,0,5,7,0
Grem1,0,36,76,27,2,0,0,818,1845,370,436,22
Mir181a-2,0,0,0,0,0,0,0,0,0,0,0,0
Ss18l1,211,232,175,181,229,91,226,229,248,176,397,202
Mir7578,1,1,1,1,1,1,1,1,1,1,1,1
Nup214,1584,1651,1352,1184,1372,600,1353,1450,1661,1132,2617,1811
Pip4k2a,421,583,552,469,495,264,529,427,533,321,712,568
Atp5c1,2524,3341,2924,1996,2514,1157,2483,3197,3659,2405,4785,2918
Olfr1158,0,0,0,0,0,0,0,0,0,0,0,0
Ntng2,642,681,595,593,517,239,428,392,395,233,610,726
Olfr1154,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1155,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1156,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1157,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1151,0,0,0,0,1,0,0,0,0,0,0,0
